II. ГЛАГОЛ.
запутал -бусайдуулаа	шэрэлдээ
запутался
зарабатывает
заражает
заражается
заржавел
заравнивает
заряжает
заслоняет
заслужил
засмеялся
засыпает -булана	унтана
засовывает
засоряет
засоряется
засыхает
затеял -һэдэлгэ гаргаа	үүдхээ
затыкает
затопил
затормозил
затратил
заучивает
захватил
захворал
захлебнулся
захлопнул -хаб байса хаагаа
заходит
захотел
зацветает
зацепился
зачитывается
защищает
защищается
зовёт
звенит
звонит
здоровается
здравствуй
зеленеет
зимует
злится
знакомится
знает
значит
зябнет
играет
идёт
избавился
избирает
извиняется
издевается
издерживает
изжарил
изломал
измазал
измельчил
изменяет
изменяется
измучил
измучился
изнашивает
изнашивается
изорвал
изорвался
израсходовал
изрезал
изрубил
изрыл
изучает
изъездил
икает
интересуется
исключает
исковеркал
искусал
испачкал
испёк
исписал
исполняется
используется
использует
испортил
исправляет
исправляется
испугал
испугался
истратил
истребляет
истрепал
исцарапал
ищет
кажется
капает
капризничает
карабкается
караулит
каркает
катает
катается
качает
качается
кашляет
квакает
кивает
кидает
кипит
кипятит
киснет
кланяется
клеит
кличет
клюёт
клянчит
коверкает слова
ковыряет	ковыряется
колосится
колотит
колотится
колет
колется
колыхается
командует
комкает
конопатит
контролирует
кончает
кончается
копает
копается
копирует
копит
копнит
копошится
коптит
кормит
корчует
косит
кочует
красит
красится
краснеет
крадёт
крадётся
крепнет
критикует
кричит
кроит
крошит
крошится
кружится
крутит
крутится
крякает
кряхтит
кудахчет
куёт
кукует (кукушка)
купает
купается
купил
куражится
курит
кусает	кусается -хазана	зууна
кутает
кушает
лазит
лакает
лакирует
ласкает -эрхэлүүлнэ
ласкается
латает
лает
леденеет
лежит
лезет
ленится
лепит
летает
летит
лечит
лижет
линует
линяет
липнет
листает
льёт
ловит
ломает
ломается
лопнул
любит
любуется
мажет
мажется
макает
маскирует
маскируется
мастерит
машет
маячит
мелькает
меняет
меняется
мёрзнет
месит
метёт
метит	метится
механизируется
мечтает
мешает
мирится
моет
моется -угаагдана
мокнет
молотит
молчит
морщится
мотает
мотает головой
мочит
может
мстит
мурлычит
мутит
мутнеет
мучает
мучается
мчится
мылит
мычит
мяукает
набегался
наблюдает
набрасывается
наверстал
наврал
навредил
навьючивает
нагляделся
нагноился
нагибается
наготовил
наградил
награждает
нагревает
нагревается
нагрубил
нагружает
наделал
надевает
надеется
надорвался
надписывает
надумал
надувает
надулся
наедается
наехал на пень
нажаловался
нажарил
нажимает
называет
называется
назначает
наигрался
наказывает
накаляет -халаана	улайлгана
накаляется
накапал
накапливает
накапливается
накатался -сатараа һолжороо
накидал
наклеивает
наклоняется
наколол
накопал
накопил
накормил
накроил
накрошил
накрывает
накупил
наловил рыбу
налаживает -заһана	эмхидхэнэ
налаживается
налепил
налетел
налиновал
наливает
наматывает
намечает
наряжает
намыливается
нанимает
нанизывает
нанимается
нападает
напакостить
напевает
напечатал
напилил
написал
напился
наплевал
напоил
наполняет
наполняется
напоминает
направляет
направляется
напрашивается
напроказничал
напугал
напугался
напутал
наработался
нарвал (цветов)
нарезал
нарисовал
нарушает
наряжает
наряжается
насадил
насвистывает
наскочил -һүрэн ороо	гэнтэ добтолоо
насмехается
насмешил
насолил
насолил
насорил
настаивает
насторожился
настрогал
настроил
настряпал
наступает
наступил
насыпает
насытился
натаскал
натащил
натирает
наткнулся
натопил
натягивает
находит
находится
начинает
начинается -эхилнэ	захална
нащупал
не достаёт
несёт
несётся
несётся (курица)
носит
носится
ночует
нравится
нуждается
номерует
ныряет
нюхает
нянчит	нянчится
обваливается
обвиняет
обводит
обгрыз
обедает
обёртывает
обеспечивает
обещает	обещается
обжёгся
обзывает
обижает
обижается
обленился
обливает
облизывает
облизывается
обложил
облокотился
обмазывает -шабана	шабардана
обмакнул
обманулся
обманывает
обменял
обнимает
обмотал
обнюхал
обогнал
обозлился
обознался
обрывает
обороняет
оборудует
обрабатывает
обрадовал
обрадовался
образовывается
обращается
обрезает
обрушивается
обрызгивает
обстругивает
обсуждает
обтёсывает
обтачивает
обтягивает
обуздал -хазаарлаа	номгодхоо
обувается
обучает
обучается
обхватил
обходит
объезжает
объелся
объявляет
объясняет
обыскивает
обязывает
обязывается
овладевает
оглядывается -: хараашална
огораживает
огорчился
ограбил
одалживает
одевает
одевается
одержал победу
одобряет
одомашнивает
ожеребилась (кобыла)
ожидает
оживает -ами (гол) ороно
озеленяет
озирается
означает
ознобил
озяб
оказался
окантовал портрет
оканчивает -дүүргэжэ байна
оклеивает
окликнул
окружил
окучивает
оледенел
опаздывает
опасается
опережает
опирается
описывает
опозорил
ополоскал
опомнился
опоясывает
опоясывается
оправдывается
опрастывает
опрашивает
опрокидывает
опрокидывается
опускает
опускается
опухает
орёт
организует
организуется
орошает
освобождает
освобождается
оседлал
оскорбляет
ослабляет
осматривает
основал
оставляет
останавливает
останавливается
остаётся
остеклил
остерегается
остригает
остудил
остывает
осудил
осушает болота
отапливает
отапливается
отбегает
отбирает
отбрасывает
отваливается
отведал
отвозит
отвёртывает
отвёртывается
отводит
отвечает
отворяет (двери)
отворачивается
отгоняет
отогнал
отгораживает
отдаёт
отдежурил
отделяет -илгана	һалгаана
отделяется
отдирает
отдирается
отдыхает
отказывает
отказывается
отклеивается
откликнулся
откалывает
откалывается
открывает
открывается
откусывает
отламывает
отламывается
отличается
отложил
отмечает
отморозил
отмывает
отмывается
очинил
очищает
очищается
очнулся
очутился
ошибается
оштрафовал
оштукатурил
ощенилась
ощипывает
ощупывает -барижа үзэнэ
падает
пакостит
парит
пасётся
пахнет
пачкает
пачкается
пашет
паяет
пеленает
пенится
перебегает
перебивает
перебил -таһалдуулаа	буталаа
перебрасывает -алад хаяна	шэдэнэ
перевозит
переводит
переворачивает
переворачивается
перевыбирает
перевыполняет
перегоняет
перевязывает
перегородил
передвигает
передвигается
переделывает
переезжает
переименовал
перекапывает
перекидывает -дээгүүрнь хаяна	шэдэнэ
перекочевал
перекрашивает
перекувыркнулся
перелаживает
переламывает
переламывается
перематывает
перелезает
перелетает
переливает
перелистывает
перелицовывает
переловил
переменяет
перемножает
перемывает
переносит
переночевал
переобувает	переобувается
переодевает
переодевается
перепахивать
перепиливает
переписывает
переплетает
переплывает -тамаржа гараа
переправляет
перепрыгивает
перепугал -айлгаа
перепугался
перепутал
перерисовал
пересадил
пересел
пересказывает
перескочил
пересолил
повернул
повернулся
повесил
повёл
повидался
повинуется
поворачивает
повторяет
повторяется
повстречал
повышает
повязал галстук
погасил
погибает
погладил
поглядел
погнался
погнул
погнулся
поговорил
погоняет
погрел
погрузил
погубил
погулял
переспрашивает
переставляет
перестаёт
перестарался -үнгэргөө	хэтэрүүлээ
перестирал
пересыпает
пересыхает
перетаскивает
перетапливает
перетягивает -шангаар татана
перехитрил
переходит
перечисляет
пересчитывает
перешагивает
перешивает
печалится -уйдана
печатает
печёт
пикает
пикирует
пилит
пинает
пирует
питается
пишет
пишется
пищит
плавит
плавится
планирует
платит
плачет
плетёт
плетётся
плещется
плотничает
плывёт
пляшет
побаивается
побеждает
побежал
побелил
побеседовал
побеспокоился
побил
поблагодарил
побледнел
поблёк
поборол
побранил
побросал -хаяа	хаясагаагаа
побывал
повалил -унагаагаа	ороо
повалился
повёз
подкатывается
подкладывает
подклеивает
подковывает
подкрадывается
подлетает
подменяет
подмерзает
подметает
подмешивает
подмигивает
подмок
подмочил
поднимает
поднимается
подновляет
подносит
подогревает
подозревает
подорожал
подпевает
подпиливает
подпирает
подписывает
подписывается
подплывает
подползает
подпоясывает
подпоясывается
подпрыгивает
подпускает
подравнивает
подражает
подрастает
подрубает
подружился
подсказывает
подскакивает
подставляет
подстрекает
подстрелил
подталкивает
подтаскивает
подтирает
подтягивает
подумал
подул
подчеркивает
подчиняет
подчиняется
подчищает
подъезжает -хүрэжэ ерэбэ
подыскивает
подытоживает
поел
поехал
пожалел
пожаловался
пожал
пожелтел
пожертвовал
поживает
позаботился
позабыл
позавидовал
позавтракал
позволяет
позвонил
поздоровался
поздоровел
поздравляет
позеленел
познакомил
познакомился
позорит
поискал
поит
показывает
показывается
покатил
покатился
покачал
покачался
поклонился
покорил
покорился
покормил
покоробился
покраснел
покрикивает
покрывает
покрывается
покупает
покупался
покурил
покушал
поладил -эблэрээ
полежал
полетел
ползает
поливает
полился
полнеет
положил
поломал
поломался
полоскает
получает
пользуется
полюбил
помазал
померил
помещается
помирает
помирал
помирился
помнит
помножил
помогает
помчался
поминает
понёс
понёсся
понимает
понукает
понюхал
пообедал
поощряет
попадает
попадается
поперхнулся
попил
поплыл
поправляет
поправляется
попрощался
попытался
попятился
поработал
поранил
порвал
порвался
поредел
портит
портится
поругал
поругался
посадил
посветил
посвистывает
поселился
поскакал
последил
послушал
послушался
послышалось
посматривает
посолил
поспевает
поспорил
поссорился
поставил
постирал
посторонился
постоял
постригает -хайшална	хиргана
постригается
построил
построился
посчастливилось
посылает
потерял
потерялся
потеет
потёк
потонул
потрудился
потряс
потухает
потух
потужил
потянул
похвастался
походил
походит
похоронил
похорошел
почесал -маажаа	һамнаа
почесался
починил
почистил
почистился
почитал
почувствовал
почуял
пошатнулся
пошёл
пошил
пощупал
появился
празднует
превращается
предлагает
предполагает
предчувствует -зүгнэнэ	зүндөө оруулна
прекращает
препятствует
прерывает
преет
преувеличивает
прибавляет
прибавляется
прибежал
прибивает
приближает
приближается
прибывает
приветствует -:амаршална
прививается -заншана	дадана
привинчивает
приводит
привозит
привстал
привыкает
привязывает
привязывается
приглашает
пригодился
пригоняет
приготовляет
придавливает
приделывает
придирается
придумывает
приезжает
прижимает
прижимается
признаётся
приклеивает
приколачивает
прилаживает
приласкал
прилепляет
прилетает
прилёг
прилипает
приложил
примеряет
примыкает
приносит
принял
принялся
приобретает
приоткрывает
приоткрывается
припаял
приписал
присвоил
прискакал
прислал
присылает
прислонил
прислонился
прислушивается
присмирел
присоединил
пристаёт
присутствует
притаился
притащил
притворяется
приторачивает
притягивает
приумолк -абяа гарахаа болёо
приуныл
приучает
приучается
приходит
прицеливается
причёсывает
причёсывается
пришивает
приютил
пробегает
пробует
пробыл
проваливается
проведал
проверяет
проветривает
проводит
провожает
провозился
проглотил
прогнал
проголодался
проголосовал
прогуливает
прогуливается
продаёт
продиктовал
продолжает
продолжается
проектирует
проезжает
проживает
прозевал
проиграл
произносит
происходит
прокараулил
прокатил
прокатился
прокопал
пролезает
пролетает
проливает
проливается
промазывает
промахнулся
променял
промокает
промолвил -дуугараа	абяа гараа
промолчал -абяагүй байгаа
промчался
промывает
промышляет
пропел
проплывает
пропускает -нэбтэ гарана	(урогоо) гээнэ
прорабатывает
просвечивает
просидел
просит -гуйна	эринэ
просится
просклонял
проскользнул
проследил
просматривает
проснулся
проспал
проспорил
простудился
просунул
просушил
просыпал
проталкивает
протекает
протирает
протоколирует
протыкает
протягивает
проучил
проходит
процветает
процеживает
прочитал
прощай
прощает
прощается
прыгает
прячет
прячется
пугает
пугается
пускает
путает
путешествует
пылает
пылит
пыхтит
пьёт
пятится
работает
равняется
радуется
разбегаются
разбежались
разбиваются
разбрасывает
разбрасывается
разбрызгивает
разбудил
разбухает
развевается
разведует
развёртывает
развёртывается
развеселил
развеселился
развешивает
развлекает
разводит
разволновался
разворачивает машину
развязывает
развязывается
разглаживает
разглаживается
разглядывает
разговаривает
разгоняет
разгорается
разгребает
разгружает
разгуливает
раздаёт
раздвигает -һалгаана	заалана
раздевает
раздевается
разделил
раздробляет -бутална	бутаруулна
разжёвывает
разжигает
разевает
разламывает
разливает
разлиновал
разложил
размазывает -няана	түрхинэ
размазывается
разматывает
разматывается
размельчил
разменял
разнимает
разнюхивает
разоряет
разошёлся
разрезает
разрешает
разрисовывает
разрубает
разрушает
разрушается
разрывает
разрыхляет
разряжает -һомынь абана
разувает
разувается
разузнал
разукрашивает -гоёоно	шэмэнэ
разучивает
разъезжает
разъехались
разъехался
разъясняет
разыскивает
ранит
раскалывает
раскапывает
раскачивает
раскачивается
расквитался
раскидал
раскинул
раскинулся
расклеился
расколол
раскололся
раскрасил
раскричался
раскрыл
раскрылся -задараа	һалбараа
раскудахталась -шанга шангаар дуугараа	хашхараа
раскупают -худалдажа абана
распахал
распахнул
распаялся
распевает
распечатывает
распиливает
расписывается
расплавляется
расплакался -бархираа	орилоо	уйлаа
расплескал
расплескался
расплетает
расплетается
располагается
распорол
распоролся
распоряжается
расправляется
распродаёт
распространяет
распрямляет
распрягает
распрягся
распускает
распускается
распутывает
рассаживает
распутывается
рассветало
расседлывает
рассердил
рассердился
рассказывает
рассматривает
рассмешил
рассмеялся
рассортировал
расспрашивает
расставляет
расстаётся
расстёгивает
расстёгивается
расстраивает
расстраивается
расступились
рассуждает
рассчитывает
рассылает
рассыпает
рассыпается
расталкивает -иишэ тиишэнь түлхинэ
растапливает -түлинэ
растапливается
растопляется
растаскивает
растворяет
растворяется
растерзал
растерял
растерялся
растёт
растолковал
растоптал
растрачивает
растрепал
растрепался
растрескивается
растушёвывает
растягивает
расхаживает
расхваливает
расхвастался
расходует
расцарапал
расцветает
расчерчивает
расчёсывает
расчищает
расшалился
расшатал
расшатался
расширяет
расшумелся
рванул
рвёт
ревёт
редактирует
режет
ремонтирует
репетирует
решает
решается
ржавеет
ржёт -инсагаална
рисует
ровняет
роет
роется
рожает
роняет
рубит
ругает	ругается
руководит
руководствуется
рулит
рухнул
рыбачит
рыскать
рыхлит
рычит
рявкает
садит	сажает
садится
сбегал
сбежал
сбивает
сбивает масло
сваливает
свалился
сварил
сварился
сверкает
сверлит
свернул
свернулся
светает
свистит
связывает
связывается
сгибает
сгущается
сдаёт
сдаётся
сдвигает
сдвинулся
сделал
сдирает
седлает
сердится
серебрится
сеет
сжалился
сжигает
сжимает
сигналит
сидит
сказал
скачет
скапливает
скапливается
скатывает
скатывается
скинул
скирдует
скитается
склеивает
склоняет
склоняется
скоблит
скользит
скомандовал
скомкал
скончался
скорчился
скосил
скрипит
скромничает
скрывает
скрывается
скупится
скучает
славится
слезает
сломал
сломался
служит
случился
слушает
слушается
слышит
смазывает
сманил
смастерил
сменяет
смерил
смешал
смешался
смешит
смеётся
сморкается
смотрит
смотрится
смочил
смутил
смутился
смывает
снижается
снимает
соблазняет
соблазняется
собирает
собирается
советует
советуется
соглашается
согревает
соединяет
соединяется
создаёт
сознает	сознаётся
созревает
сокращает
солит
сомневается
сопит
сопротивляется
соревнуется
сорит
сортирует
сосёт
соскабливает
соскучился
состряпал
сосчитал
сохнет
сохраняет
сохраняется
сочиняет
сочувствует
спасает
спасается
спел
спешит -яарана	шамдана
спешился -моринһоо буужа ябагалаа
спилил
списал
спит
спланировал
сплёл
сплотился
сплоховал
сплясал
спорит
споткнулся
спохватился
справляется
спрашивает
спрыгнул
спрягает
спрягается
спрятал
спрятался
спугнул
спускает
спускается
сравнивает
сражается
срезает
срисовывает
срубил
срывает
ссорится
ставит
стал
сталкивает
становится
старается
створожилось
стелет
стережёт -харууһална	манана
стесняется
стирает
стирается
стихает -аалидана
стоит
стоит
столкнул
столкнулся
столпились
стонет
стоптал
сторожит
страдает
стрекочет
стреляет
стремится
стрижёт
строгает -харуулдана 
строит
строится
струсил
стряпает
стряхнул
стукнул
стукнулся
ступай
стучит	стучится
стыдит
стыдится
стынет
судит
суетится
суёт
суётся
сумел
сушит
сушится
сфотографировал
схватил
схватился -аһалдаа	тулалдажа ороо
сходил
считает
считается
сшивает
съёжился
съел
съехал
торгуется
торжествует
тормозит
торопит -яаруулна	түргэлүүлнэ
торопится
торчит
тоскует
точит
тошнит
трамбует
тратит
требует
требуется
тревожит -һанаа зобооно	хашараана	үбдэхөөнэ
тревожится
тренируется
трескается
трет
трогает
трогается
трудится
трясёт
трясётся
тужит
тупеет	тупится
тухнет
тычет
тягается
тянет
тянется
убавляет
убавляется
убаюкивает
убеждает
убеждается
убегает
убирает -хуряана
убивает -алана
уважает
увеличивается
увидел
увиделся
увлекается
увозит
уводит
угадывает
углубляет
угоняет
угодил
угощается
угрожает
удаётся
удивляет
удивляется
удирает
удит
удлиняет
удлиняется
удобряет
удовлетворяет
уезжает -ябана	ошоно	мордоно
ужинает
узнаёт
укатился
украшает
украшается
украл
укрепляет
укрепляется
укусил
укутал
улетел
улетучился
улёгся
улизнул
уложил
улучшает
улучшается
улыбается
уменьшает
уменьшается
умирает
умерщвляет
умеет
умножает
умывает
унимает
уничтожает -үгы хэнэ	һалгаана
уносит
унывает
упаковывает
упал
уплывает
управляет
управляется
упражняется
упрямится
упускает
усадил
усваивает
уселся
усиливает
усиливается
ускользнул
ускорил
услуживает
услышал
усмехается
уступает
уснул
успевает
успокаивает
успокаивается
устаёт
устаревает
устоял
устраняет
устраивает
устремился
усыпляет
утаптывает
утаскивает
утверждает
утепляет
утирает
утомляет
утонул
уточняет
утюжит
ухаживает
ухватился
ухитрился
уходит
уцелел
уцепился
участвует -хабаадана
учит -һургана
учится -һурана
учуял
ушибся
ушил
ущипнул
фотографирует
фыркает
харкает
хвалит
хвалится
хвастает	хвастается
хватает
хватается
хватит
хитрит
хихикает
хлебает
хлопает -альга ташана	альгадана
хныкает
ходатайствует
ходит
хозяйничает
хоронит
хочет
хочется
хохочет
храбрится
хранит
хранится
храпит
хромает
хрустит
хрюкает
царапает	царапается
цветёт
целится
целует
целуется
цепляется
чавкает
черкает
чернеет	чернеется
черпает
черствеет
чертит
чешет
чинит
чирикает
чистит
чистится
читает
читается
чихает -найтаана
чувствует
чует
шагает
шалит
шатается
швыряет
шевелит
шевелится
шелестит
шепчет	шепчется
шипит
шлёпает
шляется
шнуруется
штрафует
штукатурит
шумит
шутит
шьёт
щебечет
щекочет
щиплет	щиплется
щупает
электрифицирует
юркнул
является
якшается
яровизирует
яснеет

