авиамодельный
изменяемый
изнеженный
изношенный
изъявительный
изнурённый
изящный
икряной
илистый
иностранный
интересный
искусственный
исправный
испуганный
исследовательский
испытанный
истинный
исторический
исхудалый
кавалерийский -морин сэрэгэй 
каждодневный
калорийный
каменистый
каменноугольный
каменный
каткий
кипячёный
кирзовый
кислый
классный
классовый
клеветнический
клеёнчатый
клейкий
клетчатый
книжный
коварный
ковкий
кожаный -арһан	булгайр	һур
коллективный
колотый
колючий
коммунистический
комнатный
комолый -мухар	эбэргүй
конкретный
конечный
конный -моридой	мориной	морин
конский
контрольный
копчёный
конкретный
коренастый
коренной
короткий
корявый
косматый -барбагар	арбагар
космический
косолапый -маягар	маяа
костлявый -яһан туранхай
костяной
кочевой
кочковатый
кошмарный
краденый
крайний
красивый
краснознамённый
красноречивый
краснощёкий
красочный
краткий
крашеный -будамал	будаатай
крепкий
кривой
крикливый
кровавый
кровожадный
кровопролитный
круглолицый
круглый
крупный
крутой
кубический
кудрявый
культурный
курносый
кусковой (сахар)
кустарный
крылатый
куцый
ладный
лазурный
лакомый
лаконичный
ласкательный
ласковый
левый
лёгкий -хүнгэн	бэлэн	һула
легковесный
легковая машина
легкомысленный
ледовый
ледяной
ленивый
лежачий
лесистый
лесной
ленинский -ленинскэ	Ленинэй
лесопильный
лестный
летний
лётный
летучий
лечебный
липкий
лирический
лиственный
литературный
лихой -хүйхэр	мундуу	хорон
лицевой
лицемерный
личный
лишний
ловкий
ломкий
лохматый
лощёный
лунный
лукавый
лучший
лысый
львиный
любезный
любимый
любой
лютый
маленький
маловатый
маловажный
малограмотный
малолетний -бага наһатай	наһа багатай
малочисленный
малый
малюсенький
малярный
марксистский
марксистско-ленинский -марксистско-ленинскэ
манный
масляный
массовый
матерчатый
машинно-тракторная станция
медленный
медлительный -аали	хашан
медный
междугородный
международный
межколхозный
межпланетный
мелкий
мелководный
мелочный
мёрзлый
мёртвый
местный -нютагай	энэ нютагай
меткий
метрический
механический
меховой
милый
минувший
мирный
мировой
миролюбивый
младший
млекопитающий
мнительный
многоводный
многодетный
многозначное число
многолетний
многолюдный
многосемейный
многочисленный
могучий
могущественный
модный -модно	гоёмсог	һүүлэй модын
мокрый
молодой
молочный
молчаливый
моральный
мороженый
морской
мохнатый
мощный
мрачный
мстительный
мудрёный
мужественный
мужской
музыкальный
мускулистый
мучительный
мягкий
мягкотелый
мясистый
мятежный
наблюдательный
наглый
наглядный
надёжный
надоедливый
надутый
назойливый
наивный
наивысший
наилучший
народнохозяйственный
народный
наружный
нарядный
настойчивый
настольный
настоящий
натуральный
нахальный
находчивый
начальный
начитанный
неблагодарный
небесный
небольшой
небрежный
небывалый
неважный
невежественный
невежливый
неверный
невероятный
невнимательный -анхаралгүй
невиданный
невинный
негодный
неграмотный
недоброкачественный
недобросовестный
недовольный
недостаточный
неестественный
нежный
незадачливый
незаметный
незаурядный
нездоровый
неизвестный
неисправимый
неисправный
некурящий
некрасивый
нелепый
немой
немощный
необходимый
ненаглядный
необъятный
необычайный
неодушевлённый
неожиданный
неосторожный
неотложный
непобедимый :
непонятливый -ойлгосогүй
непонятный
неправильный
непременный
непрерывный
непригодный
неприятный
непромокаемый
непутёвый
непроходимый
неравный
неразлучный
нервный
нерешительный
нереальный
неровный
неряшливый
несокрушимый
несчастный
неугомонный
неудачный
неудобный
неуклюжий
неустойчивый
неутомимый
нечестный
неясный
нижний
низкорослый
низкий
ничтожный
новенький
новогодний
новый
нормальный
ноский -бүхэ	бэхи (прочный)
кошеный -үмдэгдэһэн
нужный
нынешний
обгорелый
обидчивый
обиженный
областной
обманчивый
образцовый
образованный
обрывистый
обстоятельный -тодорхой	бодолтой
обширный
общедоступный
общенародный
общеобразовательный
общественный
общий
общительный
объективный -объективнэ	бодото үнэн (байдал)	үнэн сэхэ
обыкновенный -юрын	жиирэй
обычный
обязательный
оглушительный
огненный
огнеупорный
огромный
одинаковый
одинокий
однодневный
однозвучный
однокомнатный
одноместный
одномоторный -нэгэ мотортой
однообразный
одноствольный
одноцветный
одушевлённый
озимые
озорной
оконный
окончательный
окружающий
опасный -аюултай	аймшагтай
опрометчивый
опрятный
оптимистический
опытный
организационный
основной
особенный
особый
остальные
осторожный
остроконечный
остроумный
острый
отважный
ответственный
отвратительный
отдельный
отеческий
отзывчивый
откровенный
отличный
отложной воротник
отрывной календарь
отрывочный
отсталый
отсутствующий
отцовский
отчётливый
отчётный
отчий
отчаянный
отъезжающий
охриплый
очаровательный
очередной
ошибочный
пакостный
памятный
парадный
параллельный
парный
паровой
партизанский
партийный
пасмурный
пассивный
пахотный
пахучий
певчий
педагогический
первобытный
первоклассный
первомайский
первоначальный
передвижной
передний
передовой
перелётная птица
перемётная сума
переносный
пересечённая местность
переходный
перловая крупа
пернатый
персональный
перочинный нож
песцовый
песчаный
печальный
печатный
печёный
пешеходный
пеший
пилёный
писчий
письменный
питательный
питьевой
пламенный
плановый
платный
плачевный
пленный
плетёный
плечистый
пловучий
плодовитый
плодовый
плодоносный
плодородный
плодотворный
плоский
плотничный
плотный
плохой
победный
повелительный
поворотливый
повсеместный
повторный
пограничный
податливый -зөөлэн	бэлэн	үгэдэ оросотой
подвижной
подводный
подготовительный
подержанный
подземный
подлёдный
подлый
подножный корм
подобный
подозрительный
подопытный
подробный
подходящий
подчинённый
пожарный
пожизненный
пожилой
позапрошлый год
поздний
позорный
показательный
показной
покатый
покладистый
покойный
покорный
покупной
полевой
полезащитный
полезный
политехнический
политический
полновесный
полновластный
полноводный
полнокровный
полноправный
полноценный
полный
пологий
полосатый
положенный -урид хараалагдаһан	томилогдоһон
положительный
полоумный
полуденный
полукруглый
полярный
понятливый
понятный
поперечный
популярный
попутный (ветер)
породистый
порожний
портативный
порядковый (номер)
порядочный
послевоенный
последний
последовательный
послушный
посторонний
постоянный
постраничный
потерянный
потешный
похвальный
похожий
почётный
почтительный
правдивый
правильный
правый
праздный
превосходный
предательский
предварительный
предвыборный
предоктябрьский
предпраздничный
предприимчивый
представительный
предусмотрительный
предыдущий
прежний
презрительный
прекрасный
прелестный
пресный
престарелый
преступный
приблизительный
приветливый
привлекательный -дура татасатай
привозной
пригласительный
пригодный
придирчивый
приезжий
прилежный
приличный
примерный
примитивный
принудительный
природный
пристальный
притворный
приторный
прихотливый
причудливый
приятный
пробный
проверенный
проворный -солбон	шуран	бушуу
прогрессивный
продажный
продолговатый
продолжительный
прожиточный
прожорливый
производительный
проклятый
проливной
промокательная бумага -бэхэ һородог саарһан
промышленный
пронзительный
прописной
противный
противоположный
противоракетный
противоречивый
противотанковый -противотанкова	танкнуудые тогтоохо
проточный
простой
просторный
простодушный
противный
противовоздушный
протяжный
прохладный
проходная будка
прочный
прошедший
прошлогодний
прошлый
прощальный
прямой
прямоугольный
публичный
пугливый
пузатый
пустой
пустотелый
пустынный
пушистый -барбагар	һэмбэгэр
пушной
пыльный
пытливый
пышный
пятикратный
работящий
рабский
рабоче-крестьянский
рабочий
равномерный -нэгэ жэгдэ
равный
рад
радостный
радушный
разбитной
разбитый
разборный
разборчивый почерк
развёрнутый
развесистый -һалаа ехэтэй
развитой
разговорный
разговорчивый
различный
разнообразный
разный
разрезная азбука
разумный
разъяснительный
ранний
рассеянный
растительный
расторопный
расточительный
расчётливый
рваный
реактивный
революционный
регулярный
редкий
резвый (конь) -тэршээ	хурдан	ульгам
резкий
рекордный
религиозный -шажанай	һүзэгтэй
решённый
рентабельный
ретивый конь
речистый
речной
решительный
ржавый
ржаной хлеб
рисовальный
рисовый
робкий
ровный
рогатый
родимый
родительский
родной
роковой
романтический
роскошный
рослый
российский
ругательные слова
рукопашный
румяный
русоволосый
русский
русый
ручной
рыбный
рыхлый -бамбагар	зөөлэн	һула
рядовой
сальный
самобытный
самовольный
самодельный
самодеятельный -һайн дуратанай
самостоятельный
самоходный
самый
санитарный
сберегательная касса
свежий
сверхзвуковой -абяанһаа түргэн
свинцовый
свирепый
свободный
связанный -хүлеэтэй	уяатай	холбоһон
свободолюбивый
своевременный
своенравный
святой
сговорчивый
седой
сезонный
сельский -хүдөө	хүдөөгэй	сельскэ
сельскохозяйственный
семейный
семенной
семилетний
сердечный
сердитый -сухалтай	ууртай
серебристый
серебряный
сероглазый
серьёзный
сидячий
сильный
симпатичный
скверный -бузар булай	яяр
складной
скорый
скользкий
скромный
скрытный -барюу зантай	юумэ хэлэдэггүй
скупой
скучный
слабый
слабоумный
славный
сладкий -амтатай	саахартай
следующий
слепой
слесарный
слитный
словесный
сложный
служебный
случайный
слюнявый
смежный
смекалистый
смелый
смертельный
смертоносный
смехотворный
смешной
смешанный
смирный
смолистый
смутный
снисходительный
собачий
соблазнительный
собственный
совершеннолетний
советский
совместный
современный
согласный
согласованный
содержательный
соединительный
сознательный
сокрушительный
солёный
солидный
солнечный
сомнительный
сонливый
сонный -нойроо хүрэһэн
соответственный
соответствующий
сорный
соседний
составной
состоятельный
сотый
социалистический
сочный
спальный
спасательный
спелый
спесивый
специальный -тусхай	онсо
спешный
сплошной
спокойный
спорный
способный
справедливый
справочный
сравнительный
средний
срочный
стальной -булад	буладаар хэһэн
станковый
старательный
старинный
старомодный
старший
старый
стационарный
стельная -түрэхэ	тугаллаха
степенный
стеснительный
столовый
столярный
стоячий
страдательный
страстный
стратегический
страшный
стрелковый
стремительный
стриженый
строгий
строительный
стройный
стыдливый
сугубый
судоходный
суеверный
суетный
сумасшедший
суровый
суточный
сухой
сухопутный
сухощавый
сучёный
сучковатый
сушённый
схематичный
счастливый
съедобный
съёмочный -абалгатай	буулгалгын
съестной
сыпучий
сырой -шиигтэй	нойтон	түүхэй
сытый
сытный
таёжный
таинственный
тайный
тактичный
талантливый
талый
тамошний
танцевальный
твёрдый
творительный
театральный
телячий
тематический
тёмный
теоретический
теперешний
тёплый
тернистый
терпеливый
тесный
технический
типичный
тихий
товарищеский
товарный
токарный
толковый
толстый
томатный
томительный
тонкий
тонкий -нарин	шэнгэн	һонор
торжественный
торопливый
точёный -хурсадаһан	хурса
точильный
точный
травоядный
требовательный
трезвый -элүүр	архи уудаггүй	бодолтой
тренировочный
трескучий
треугольный -гурбан буланта
трехсторонний
трикотажный
трогательный -досоо уярма
трубчатый
трудный
трудовой
трудолюбивый
трудоспособный
трусливый
тряский
тугой
туманный
тупой
тусклый -бүдэхи	бүрүүл	һүлэмхи
тщательный
тяжёлый
убитый -алуулһан	үхэһэн
уборочный
увеличительный
уверенный
увесистый
угнетённый
увлекательный
угрюмый
удалой -хүйхэр	эдирхэг
ударный
удачный
удивительный
удобный
удовлетворительный
ужасный
узкий
указательный палец
укромный
умелый
уместный
умный -ухаатай	сэсэн
умственный
унылый
упорный
упругий
упрямый
уродливый
усатый
усердный
усидчивый
усиленный
условный
услужливый
успешный
усталый
устарелый
устная речь
устойчивый
уступчивый
утиный
утомительный
утренний
ухабистый
учебный
ученический
уютный
фабричный
фактический
фальшивый
федеративный
фигурный
физический
физкультурный -физкультурна
философский
финансовый
фланелевый
формальный
фронтальный
халатный
характерный
характерный -онсо шэнжэтэй	онсо илгаатай
хвалёный
хвастливый
хвойное дерево -шэлбэһэтэ модон
хилый
химический
хитроумный
хитрый
хищный -мяхаша	шунахай
хладнокровный
хлебный злак
хлопчатобумажный
хмурый
ходячий
хозяйственный
холмистый
холодный
холостой
хоровой
хорошенький
хороший
храбрый
хриплый
хромой
хронический
хрупкий
художественный
худой
худощавый
цветистый
цветной
целебный
целый
ценный
центральный
цепной
чайный
частичный
частный
частый
чахлый
человеческий
червивый
чернобровый
черноглазый
чернобурая лиса
черновое письмо
черноволосый
черноглавый
черномазый
чёрствый
чертёжный
честный
чёткий
чётный
чистокровный
чистоплотный -сэбэр ябалгын
чистосердечный
чистый
читальный зал
чищенный
чрезвычайный
чувствительный
чудаковатый
чудесный
чудный
чудовищный
чужой
чумазый
чуткий
шаловливый
шарообразный
швейная машина -оёдолой машина
шёлковый
шероховатый
шершавый
шикарный
широкий
широковещательная станция -радиодамжуулгын станци
штрафной
широкоплечий
широкоэкранный
штучный
шумливый
шумный
шустрый
шуточный
щедрый
щекотливый
экономический
экскурсионный
экстренный
электрический
элементарный -элементарна
эмалированный
эмоциональный
энергичный
эрудированный
эстетический
эффективный
юный
юридический
юркий
ядовитый
явный
яловый
яркий
яровой
яростный
ярый
ясный

А. Прилагательные	обозначающие цвета
алый
белый
белоснежный
бледный
бледно-зелёный
бордовый
бурый -хүрин	хара хүрин
вишнёвый
голубой
зелёный
золотистый
коричневый
красный -улаан: улаан туг	Улаан Арми	улаан булан	улаан зандан	улаан шэрэ
мутный
оранжевый
пёстрый -эреэн	алаг
прозрачный
разноцветный
розовый
румяный
рыжий
рябой
светлый
серебристый
серый
синий
смуглый
тёмный
фиолетовый
чёрный
беломордый
белый
буланый
бурый
вороной
гнедой
игреневый
каурый
пегий
пестроголовый
пёстрый
полосатый
рыжий
саврасый
серебристо-чёрная лиса
серый
сивый
смурый
соловый
чалый
чернобурая лиса

